,precision,recall,f1-score,support
0,0.9863636363636363,0.9863636363636363,0.9863636363636363,220.0
1,0.9795918367346939,0.9746192893401016,0.9770992366412213,197.0
2,0.9689119170984456,0.9739583333333334,0.9714285714285714,192.0
3,0.9719101123595506,0.9611111111111111,0.9664804469273743,180.0
4,0.9698492462311558,0.965,0.9674185463659147,200.0
5,1.0,1.0,1.0,185.0
6,0.9447004608294931,0.9808612440191388,0.9624413145539906,209.0
7,0.9855769230769231,0.9951456310679612,0.9903381642512077,206.0
8,1.0,0.9803921568627451,0.9900990099009901,204.0
9,0.9754901960784313,0.961352657004831,0.9683698296836983,207.0
accuracy,0.978,0.978,0.978,0.978
macro avg,0.9782394328772328,0.9778804059102859,0.9780038756116604,2000.0
weighted avg,0.978161031223016,0.978,0.9780228371972883,2000.0
