Optimizer,Learning_Rate,Final_Train_Loss,Final_Train_Accuracy,Final_Val_Loss,Final_Val_Accuracy,Peak_Val_Accuracy
adam,0.01,0.0011,1.0,0.0009,1.0,1.0
adam,0.001,0.0245,1.0,0.0235,1.0,1.0
adam,0.0001,0.0622,1.0,0.0587,1.0,1.0
sgd_momentum,0.01,0.0534,1.0,0.0533,1.0,1.0
sgd_momentum,0.001,0.0576,1.0,0.0573,1.0,1.0
sgd_momentum,0.0001,0.0767,1.0,0.0716,1.0,1.0
rmsprop,0.01,0.0,1.0,0.0,1.0,1.0
rmsprop,0.001,0.0112,1.0,0.0106,1.0,1.0
rmsprop,0.0001,0.049,1.0,0.0487,1.0,1.0
adagrad,0.01,0.056,1.0,0.056,1.0,1.0
adagrad,0.001,0.0809,1.0,0.0731,1.0,1.0
adagrad,0.0001,0.6604,0.8818,0.5246,0.9918,1.0
