iteration,best_cost
1,16.901690647927914
2,6.763027639900532
3,5.338001446796291
4,5.21121757729388
5,2.6893157690177536
6,3.2542220959068513
7,2.5733438675418907
8,2.4253657104558326
9,2.4253657104558326
10,1.6196954078400485
11,1.4947708412629415
12,0.9492200818215619
13,0.9492200818215619
14,1.3695459074860108
15,1.1864589245810575
16,0.6981500051580203
17,0.6666752190396363
18,1.59512855585842
19,1.13275753452788
20,0.8983210259901893
21,1.0398467163497611
22,0.5571848235312591
23,0.5571848235312591
24,0.5351139488352428
25,0.5351139488352428
26,0.5412458972167653
27,0.5937273165277586
28,0.5863861057226889
29,0.8993855902871926
30,0.47577311469907757
