iteration,best_cost
1,11.78777885576863
2,7.905328656166823
3,7.376264767170927
4,6.298121766596857
5,4.229901102814534
6,3.9886914976398207
7,3.175007998315053
8,3.2950292810956907
9,2.170107682224963
10,2.9049869368826795
11,3.0643669484879124
12,3.0932078353593693
13,2.8200781437825637
14,2.108064924588185
15,2.0712322223012376
16,2.110949997956791
17,2.4408581570699366
18,1.622009354822087
19,1.3843835482559368
20,0.5501059743804793
21,1.611796384850884
22,1.4767998440262606
23,1.174216593634363
24,0.5193616224692872
25,1.1596612054828097
26,0.7484249466212813
27,0.5830261245052246
28,0.208637628775183
29,0.208637628775183
30,0.38776401193718657
