time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m,wind_direction_10m,shortwave_radiation,cloud_cover,pressure_msl,et0_fao_evapotranspiration,vapour_pressure_deficit,soil_moisture_0_to_7cm
2022-05-01T00:00,12.4,86,10.2,11.0,0.0,0.0,0.0,9.5,15.8,241,0.0,7,1011.3,0.0,0.19,0.132
2022-05-01T01:00,12.0,88,10.1,10.8,0.0,0.0,0.0,8.7,15.8,240,0.0,0,1011.0,0.0,0.17,0.132
2022-05-01T02:00,11.6,89,9.8,10.5,0.0,0.0,0.0,7.6,14.0,245,0.0,0,1010.6,0.0,0.15,0.132
2022-05-01T03:00,10.9,89,9.2,9.6,0.0,0.0,0.0,7.3,11.9,259,0.0,0,1010.6,0.0,0.14,0.154
2022-05-01T04:00,9.6,92,8.4,8.2,0.0,0.0,0.0,6.6,11.9,257,0.0,0,1011.0,0.0,0.1,0.154
2022-05-01T05:00,9.0,93,7.8,7.4,0.0,0.0,0.0,6.6,10.1,248,1.0,0,1011.3,0.0,0.09,0.154
2022-05-01T06:00,11.3,85,8.8,10.1,0.0,0.0,0.0,5.9,10.4,232,74.0,0,1011.6,0.03,0.21,0.154
2022-05-01T07:00,14.1,70,8.8,13.0,0.0,0.0,0.0,5.2,13.0,236,257.0,0,1011.9,0.14,0.48,0.153
2022-05-01T08:00,16.5,57,7.9,15.2,0.0,0.0,0.0,5.5,15.5,247,471.0,0,1011.4,0.28,0.81,0.152
2022-05-01T09:00,18.7,46,6.9,18.1,0.0,0.0,0.0,3.9,15.8,248,670.0,0,1010.5,0.42,1.16,0.15
2022-05-01T10:00,20.4,39,6.0,20.4,0.0,0.0,0.0,4.7,16.6,238,828.0,0,1009.5,0.54,1.46,0.147
2022-05-01T11:00,21.8,34,5.1,22.0,0.0,0.0,0.0,6.0,19.4,213,927.0,2,1008.1,0.62,1.73,0.143
2022-05-01T12:00,23.1,30,4.4,23.3,0.0,0.0,0.0,6.8,21.2,212,966.0,10,1006.6,0.66,1.98,0.139
