target,Baseline_RMSE,Baseline_MAE
temperature_max,3.7396650036631143,3.0018867924528307
temperature_min,2.841505048983061,2.2207547169811326
temperature_mean,2.8439970548338414,2.2948899371069182
apparent_temperature_max,3.8625683116631286,3.156603773584906
apparent_temperature_min,3.1404542394673864,2.5000000000000004
apparent_temperature_mean,3.031643637044688,2.48875786163522
dew_point_mean,3.0834946519927553,2.5169025157232703
relative_humidity_mean,12.005068046663936,9.183962264150944
precipitation_sum,2.032100874037544,0.8566037735849058
rain_sum,0.550128629898465,0.2679245283018868
snowfall_sum,1.18599214099022,0.4358490566037736
precipitation_hours,3.833811837785883,1.9811320754716981
sunshine_duration_hours,1.3458531698209062,0.9056603773584906
wind_speed_max,4.090509033230876,3.186792452830188
wind_gust_max,7.196435176202383,5.7735849056603765
wind_direction_mean,84.85159227978865,69.81442876677885
shortwave_radiation_sum,2.768885454406275,1.9385660377358493
cloud_cover_mean,39.7999773171348,32.4496855345912
pressure_msl_mean,7.003731059602548,5.3425314465409
et0_fao_evapotranspiration_sum,0.39762739740844233,0.30509433962264154
vapour_pressure_deficit_max,0.2964284252914264,0.22396226415094342
soil_moisture_0_to_7cm_mean,0.03651170262698213,0.029768867924528302
