index,family,parameter_name,parameter_value,alpha,episode,mean,median,std_steps
0,n_step_sarsa,n,5.000,0.100,1,2531.500,2531.500,146.371
1,n_step_sarsa,n,5.000,0.100,2,730.500,730.500,210.011
2,n_step_sarsa,n,5.000,0.100,3,457.000,457.000,128.693
3,n_step_sarsa,n,5.000,0.100,4,202.500,202.500,218.496
4,n_step_sarsa,n,5.000,0.100,5,396.500,396.500,471.640
5,n_step_sarsa,n,5.000,0.100,6,161.000,161.000,106.066
6,n_step_sarsa,n,5.000,0.100,7,76.500,76.500,16.263
7,n_step_sarsa,n,5.000,0.100,8,45.500,45.500,20.506
8,n_step_sarsa,n,5.000,0.100,9,259.000,259.000,179.605
9,n_step_sarsa,n,5.000,0.100,10,194.500,194.500,178.898
10,n_step_sarsa,n,5.000,0.100,11,85.000,85.000,41.012
11,n_step_sarsa,n,5.000,0.100,12,89.500,89.500,34.648
12,n_step_sarsa,n,5.000,0.100,13,100.500,100.500,116.673
13,n_step_sarsa,n,5.000,0.100,14,39.500,39.500,16.263
14,n_step_sarsa,n,5.000,0.100,15,36.000,36.000,8.485
15,n_step_sarsa,n,5.000,0.100,16,65.500,65.500,43.134
16,n_step_sarsa,n,5.000,0.100,17,49.500,49.500,33.234
17,n_step_sarsa,n,5.000,0.100,18,37.000,37.000,8.485
18,n_step_sarsa,n,5.000,0.100,19,78.500,78.500,72.832
19,n_step_sarsa,n,5.000,0.100,20,55.500,55.500,23.335
20,n_step_sarsa,n,5.000,0.100,21,64.000,64.000,50.912
21,n_step_sarsa,n,5.000,0.100,22,34.500,34.500,21.920
22,n_step_sarsa,n,5.000,0.100,23,38.500,38.500,16.263
23,n_step_sarsa,n,5.000,0.100,24,43.000,43.000,14.142
24,n_step_sarsa,n,5.000,0.100,25,71.000,71.000,16.971
25,n_step_sarsa,n,5.000,0.100,26,28.500,28.500,6.364
26,n_step_sarsa,n,5.000,0.100,27,31.000,31.000,9.899
27,n_step_sarsa,n,5.000,0.100,28,41.500,41.500,4.950
28,n_step_sarsa,n,5.000,0.100,29,29.500,29.500,2.121
29,n_step_sarsa,n,5.000,0.100,30,29.000,29.000,14.142
30,n_step_sarsa,n,5.000,0.100,31,55.500,55.500,33.234
31,n_step_sarsa,n,5.000,0.100,32,46.000,46.000,14.142
32,n_step_sarsa,n,5.000,0.100,33,35.000,35.000,12.728
33,n_step_sarsa,n,5.000,0.100,34,55.500,55.500,12.021
34,n_step_sarsa,n,5.000,0.100,35,42.500,42.500,21.920
35,n_step_sarsa,n,5.000,0.100,36,32.500,32.500,16.263
36,n_step_sarsa,n,5.000,0.100,37,28.000,28.000,9.899
37,n_step_sarsa,n,5.000,0.100,38,80.500,80.500,26.163
38,n_step_sarsa,n,5.000,0.100,39,24.000,24.000,8.485
39,n_step_sarsa,n,5.000,0.100,40,70.000,70.000,9.899
40,n_step_sarsa,n,5.000,0.100,41,23.500,23.500,7.778
41,n_step_sarsa,n,5.000,0.100,42,24.500,24.500,7.778
42,n_step_sarsa,n,5.000,0.100,43,50.500,50.500,37.477
43,n_step_sarsa,n,5.000,0.100,44,45.000,45.000,7.071
44,n_step_sarsa,n,5.000,0.100,45,52.000,52.000,16.971
45,n_step_sarsa,n,5.000,0.100,46,31.500,31.500,9.192
46,n_step_sarsa,n,5.000,0.100,47,30.000,30.000,4.243
47,n_step_sarsa,n,5.000,0.100,48,34.500,34.500,7.778
48,n_step_sarsa,n,5.000,0.100,49,74.500,74.500,57.276
49,n_step_sarsa,n,5.000,0.100,50,47.000,47.000,32.527
50,n_step_sarsa,n,5.000,0.100,51,30.500,30.500,14.849
51,n_step_sarsa,n,5.000,0.100,52,41.500,41.500,7.778
52,n_step_sarsa,n,5.000,0.100,53,48.500,48.500,38.891
53,n_step_sarsa,n,5.000,0.100,54,39.500,39.500,7.778
54,n_step_sarsa,n,5.000,0.100,55,45.500,45.500,6.364
55,n_step_sarsa,n,5.000,0.100,56,31.000,31.000,0.000
56,n_step_sarsa,n,5.000,0.100,57,43.500,43.500,4.950
57,n_step_sarsa,n,5.000,0.100,58,27.000,27.000,1.414
58,n_step_sarsa,n,5.000,0.100,59,23.000,23.000,0.000
59,n_step_sarsa,n,5.000,0.100,60,21.500,21.500,3.536
60,n_step_sarsa,n,5.000,0.100,61,19.500,19.500,0.707
