family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,1,2428
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,2,879
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,3,548
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,4,357
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,5,730
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,6,236
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,7,65
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,8,31
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,9,386
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,10,68
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,11,114
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,12,65
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,13,183
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,14,28
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,15,42
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,16,96
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,17,73
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,18,43
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,19,27
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,20,39
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,21,100
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,22,50
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,23,50
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,24,53
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,25,83
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,26,24
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,27,38
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,28,38
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,29,31
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,30,39
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,31,32
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,32,56
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,33,26
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,34,47
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,35,58
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,36,21
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,37,21
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,38,99
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,39,30
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,40,63
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,41,18
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,42,19
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,43,77
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,44,40
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,45,64
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,46,38
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,47,33
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,48,40
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,49,34
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,50,24
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,51,20
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,52,47
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,53,21
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,54,34
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,55,41
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,56,31
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,57,47
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,58,28
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,59,23
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,60,24
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,61,20
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,62,20
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,63,25
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,64,22
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,65,56
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,66,34
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,67,25
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,68,18
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,69,21
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,70,27
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,71,25
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,72,31
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,73,26
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,74,32
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,75,18
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,76,52
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,77,28
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,78,26
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,79,26
n_step_sarsa,n,5.000,0.100,0.100,0.990,13,80,19
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,1,2635
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,2,582
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,3,366
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,4,48
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,5,63
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,6,86
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,7,88
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,8,60
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,9,132
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,10,321
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,11,56
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,12,114
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,13,18
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,14,51
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,15,30
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,16,35
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,17,26
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,18,31
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,19,130
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,20,72
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,21,28
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,22,19
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,23,27
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,24,33
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,25,59
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,26,33
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,27,24
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,28,45
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,29,28
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,30,19
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,31,79
