index,family,parameter_name,parameter_value,alpha,episode,mean,median,std_steps
0,n_step_sarsa,n,1.000,0.500,1,1189.000,1181.000,113.212
1,n_step_sarsa,n,1.000,0.500,2,582.000,488.000,181.304
2,n_step_sarsa,n,1.000,0.500,3,211.333,177.000,71.933
3,n_step_sarsa,n,1.000,0.500,4,166.333,157.000,51.637
4,n_step_sarsa,n,1.000,0.500,5,213.333,122.000,174.015
5,n_step_sarsa,n,1.000,0.500,6,106.333,102.000,63.611
6,n_step_sarsa,n,1.000,0.500,7,67.667,68.000,17.502
7,n_step_sarsa,n,1.000,0.500,8,121.000,126.000,51.682
8,n_step_sarsa,n,1.000,0.500,9,56.333,54.000,14.640
9,n_step_sarsa,n,1.000,0.500,10,213.667,141.000,205.855
10,n_step_sarsa,n,1.000,0.500,11,163.000,159.000,42.143
11,n_step_sarsa,n,1.000,0.500,12,140.000,72.000,117.779
12,n_step_sarsa,n,1.000,0.500,13,181.000,216.000,131.053
13,n_step_sarsa,n,1.000,0.500,14,129.333,151.000,85.582
14,n_step_sarsa,n,1.000,0.500,15,80.667,55.000,71.066
15,n_step_sarsa,n,1.000,0.500,16,195.333,196.000,44.004
16,n_step_sarsa,n,1.000,0.500,17,41.667,47.000,11.015
17,n_step_sarsa,n,1.000,0.500,18,164.333,221.000,120.451
18,n_step_sarsa,n,1.000,0.500,19,91.333,100.000,61.460
19,n_step_sarsa,n,1.000,0.500,20,53.333,55.000,7.638
20,n_step_sarsa,n,1.000,0.500,21,152.333,189.000,86.072
21,n_step_sarsa,n,1.000,0.500,22,47.667,48.000,6.506
22,n_step_sarsa,n,1.000,0.500,23,65.000,64.000,38.510
23,n_step_sarsa,n,1.000,0.500,24,57.333,53.000,36.692
24,n_step_sarsa,n,1.000,0.500,25,85.667,111.000,50.063
25,n_step_sarsa,n,1.000,0.500,26,80.667,75.000,11.590
26,n_step_sarsa,n,1.000,0.500,27,43.000,35.000,18.358
27,n_step_sarsa,n,1.000,0.500,28,43.667,39.000,22.368
28,n_step_sarsa,n,1.000,0.500,29,55.667,60.000,18.877
29,n_step_sarsa,n,1.000,0.500,30,63.667,29.000,60.044
30,n_step_sarsa,n,1.000,0.500,31,40.333,38.000,21.595
31,n_step_sarsa,n,1.000,0.500,32,36.667,28.000,17.673
32,n_step_sarsa,n,1.000,0.500,33,54.667,44.000,41.053
33,n_step_sarsa,n,1.000,0.500,34,50.000,46.000,28.213
34,n_step_sarsa,n,1.000,0.500,35,38.333,38.000,4.509
35,n_step_sarsa,n,1.000,0.500,36,75.667,64.000,31.182
36,n_step_sarsa,n,1.000,0.500,37,32.000,32.000,3.000
37,n_step_sarsa,n,1.000,0.500,38,27.000,25.000,3.464
38,n_step_sarsa,n,1.000,0.500,39,33.667,35.000,8.083
39,n_step_sarsa,n,1.000,0.500,40,59.333,45.000,42.360
40,n_step_sarsa,n,1.000,0.500,41,34.667,38.000,5.774
41,n_step_sarsa,n,1.000,0.500,42,46.000,45.000,22.517
42,n_step_sarsa,n,1.000,0.500,43,55.000,58.000,6.083
43,n_step_sarsa,n,1.000,0.500,44,47.333,49.000,9.609
44,n_step_sarsa,n,1.000,0.500,45,41.667,45.000,8.505
45,n_step_sarsa,n,1.000,0.500,46,42.333,38.000,13.051
46,n_step_sarsa,n,1.000,0.500,47,45.000,48.000,24.637
47,n_step_sarsa,n,1.000,0.500,48,52.000,46.000,14.000
48,n_step_sarsa,n,1.000,0.500,49,38.333,34.000,8.386
49,n_step_sarsa,n,1.000,0.500,50,37.000,36.000,13.528
50,n_step_sarsa,n,1.000,0.500,51,46.667,46.000,4.041
51,n_step_sarsa,n,1.000,0.500,52,30.667,29.000,5.686
52,n_step_sarsa,n,1.000,0.500,53,28.667,29.000,2.517
53,n_step_sarsa,n,1.000,0.500,54,33.333,31.000,7.767
54,n_step_sarsa,n,1.000,0.500,55,29.667,29.000,4.041
55,n_step_sarsa,n,1.000,0.500,56,41.333,46.000,17.474
56,n_step_sarsa,n,1.000,0.500,57,30.000,27.000,8.888
57,n_step_sarsa,n,1.000,0.500,58,34.000,32.000,5.292
58,n_step_sarsa,n,1.000,0.500,59,32.333,23.000,17.039
59,n_step_sarsa,n,1.000,0.500,60,39.333,43.000,18.771
60,n_step_sarsa,n,1.000,0.500,61,35.000,32.000,7.000
61,n_step_sarsa,n,1.000,0.500,62,36.667,38.000,9.074
62,n_step_sarsa,n,1.000,0.500,63,38.000,33.000,8.660
63,n_step_sarsa,n,1.000,0.500,64,42.000,43.000,1.732
64,n_step_sarsa,n,1.000,0.500,65,24.667,19.000,11.590
65,n_step_sarsa,n,1.000,0.500,66,31.667,30.000,11.590
66,n_step_sarsa,n,1.000,0.500,67,44.667,37.000,30.238
67,n_step_sarsa,n,1.000,0.500,68,28.000,25.000,10.817
68,n_step_sarsa,n,1.000,0.500,69,25.667,18.000,13.279
