family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,1,1181
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,2,467
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,3,294
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,4,157
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,5,104
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,6,172
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,7,50
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,8,67
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,9,72
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,10,446
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,11,123
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,12,72
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,13,216
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,14,202
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,15,55
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,16,196
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,17,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,18,26
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,19,148
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,20,45
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,21,189
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,22,41
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,23,104
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,24,96
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,25,28
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,26,94
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,27,30
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,28,24
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,29,35
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,30,133
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,31,20
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,32,25
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,33,20
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,34,80
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,35,43
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,36,52
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,37,32
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,38,25
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,39,35
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,40,26
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,41,28
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,42,69
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,43,48
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,44,49
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,45,48
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,46,57
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,47,48
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,48,46
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,49,48
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,50,24
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,51,46
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,52,37
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,53,31
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,54,42
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,55,34
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,56,22
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,57,40
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,58,32
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,59,52
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,60,43
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,61,43
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,62,38
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,63,33
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,64,43
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,65,38
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,66,30
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,67,37
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,68,19
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,69,18
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,70,50
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,71,28
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,72,23
n_step_sarsa,n,1.000,0.500,0.100,0.990,13,73,54
