episode,episode_return,episode_length,success
1,-50.4855290519739,999,0
2,-48.93550530100604,999,0
3,-50.40624830333105,999,0
4,-51.9124980499098,999,0
5,-46.043397913218364,999,0
6,-47.5362633863864,999,0
7,-41.40566540146161,999,0
8,-43.51137126277245,999,0
9,-41.40467425096205,999,0
10,-39.91143584980166,999,0
11,64.41252321708096,972,1
12,-36.88329789362035,999,0
13,73.12326398649454,734,1
14,66.70987037787977,885,1
15,87.12097527354058,328,1
16,74.31242566369008,700,1
17,-35.39770660178611,999,0
18,82.32695878518655,486,1
19,79.42183528441144,556,1
20,71.42148379843643,744,1
21,71.76120461873532,788,1
22,84.60111939513553,391,1
23,81.78504558105281,491,1
24,89.37382526164424,291,1
25,88.93105098219547,255,1
26,87.4249033431939,365,1
27,81.58886658905138,509,1
28,84.03726469845545,379,1
29,82.88144566990496,455,1
30,82.40231682523606,444,1
31,75.4788592982521,632,1
32,74.74124286332832,717,1
33,75.23517833529576,648,1
34,80.51404717423512,519,1
35,83.231167831736,489,1
36,85.52994505119621,416,1
37,82.51986611275296,463,1
38,84.22291770105423,405,1
39,80.23093193651327,511,1
40,77.3655578690881,539,1
41,89.6880105507777,256,1
42,83.08342806980288,443,1
43,86.26258681412642,351,1
44,85.9167723899125,362,1
45,86.32853576475779,352,1
46,88.19203448029945,311,1
47,79.44130819093368,538,1
48,79.10355752817529,505,1
49,83.7417222123535,421,1
50,87.42826665219312,292,1
51,88.67026566100628,304,1
52,90.69809441600849,239,1
53,86.04907247164513,329,1
54,83.44856357936034,432,1
55,90.15431679765271,254,1
56,83.83819486185496,399,1
57,89.79819238711447,245,1
58,89.8456909231554,228,1
59,90.07875925838981,264,1
60,92.69807706289913,163,1
61,81.46549999874767,482,1
62,88.08126963683364,284,1
63,85.91511191749805,346,1
64,89.42367285156651,224,1
65,85.93192471676376,351,1
66,88.83626222599196,260,1
67,89.51167634778932,264,1
68,90.40203916404617,227,1
69,90.15547933951656,251,1
70,91.74046951681588,203,1
71,85.55572640932985,366,1
72,91.03329748748381,199,1
73,91.17253966991056,171,1
74,90.67802380784858,232,1
