episode,return,length,success
1,93.2696539752028,71,1
2,93.02580140396543,73,1
3,93.23828342153242,71,1
4,93.22154132552798,71,1
5,93.02580088886084,73,1
6,93.38698411278457,73,1
7,93.30721482717362,72,1
8,93.12284979929923,72,1
9,93.124573375283,72,1
10,93.35553183900053,74,1
11,93.23449302609409,71,1
12,93.26429493549203,71,1
13,93.23941752602681,71,1
14,93.2826463271949,71,1
15,93.28351174995655,72,1
16,93.11529717378775,72,1
17,93.12265400549958,72,1
18,93.01738992286957,73,1
19,93.12284252459891,72,1
20,93.25094497835254,71,1
