scenario,sample_index,true_class,x1,x2,bme_prediction,bmr_prediction
"mu2_[1.5,1.5]",1,1,1.3028480105937499,0.8687898309698217,1,1
"mu2_[1.5,1.5]",2,1,0.9726027757283947,1.8237595262469846,2,2
"mu2_[1.5,1.5]",3,1,1.0605706678245106,1.8081369326557786,2,2
"mu2_[1.5,1.5]",4,1,0.6362413794603925,1.5076328343128589,1,1
"mu2_[1.5,1.5]",5,1,1.6930163221216543,1.145328072623983,2,2
"mu2_[1.5,1.5]",6,1,1.4537712832938952,2.120385313304956,2,2
"mu2_[1.5,1.5]",7,1,0.8401687498238599,1.306522862044086,1,1
"mu2_[1.5,1.5]",8,1,0.7050955422976595,0.2975987716113566,1,1
"mu2_[1.5,1.5]",9,1,1.4601594697126266,1.1317776712875203,2,2
"mu2_[1.5,1.5]",10,1,1.216519935082228,0.8112930978425063,1,1
"mu2_[1.5,1.5]",11,1,1.1388440533222253,0.3716934142175481,1,1
"mu2_[1.5,1.5]",12,1,1.4385255162134545,1.4721653697602541,2,2
"mu2_[1.5,1.5]",13,1,0.8190431821026819,0.3386513819644491,1,1
"mu2_[1.5,1.5]",14,1,1.3727102457679676,1.876898954406669,2,2
"mu2_[1.5,1.5]",15,1,1.9924571085881215,1.4824417370177687,2,2
"mu2_[1.5,1.5]",16,1,1.152459887310042,1.0098963237546141,1,1
"mu2_[1.5,1.5]",17,1,0.3793106175152531,1.0640998737793939,1,1
"mu2_[1.5,1.5]",18,1,1.1281659859441282,0.3003060554870193,1,1
"mu2_[1.5,1.5]",19,1,1.181593613806201,1.0621994981635834,1,2
"mu2_[1.5,1.5]",20,1,0.6488919064929675,0.6407229558879886,1,1
"mu2_[1.5,1.5]",21,1,-0.13337020529985644,0.8157466957464841,1,1
"mu2_[1.5,1.5]",22,1,0.8240241641605077,0.6652449560223294,1,1
"mu2_[1.5,1.5]",23,1,1.3955823946801005,-0.043594690260180924,1,1
"mu2_[1.5,1.5]",24,1,1.6163572831067121,1.2514760603049633,2,2
"mu2_[1.5,1.5]",25,1,1.3479855378859307,1.0798762199796277,1,2
"mu2_[1.5,1.5]",26,1,0.7564952632350452,1.0356235104561786,1,1
"mu2_[1.5,1.5]",27,1,1.1560113275770383,0.8398529855907377,1,1
"mu2_[1.5,1.5]",28,1,0.9771959453828515,0.7489403343538195,1,1
"mu2_[1.5,1.5]",29,1,1.4251314565535596,0.05813133390733205,1,1
