scenario,method,sample_index,sample_number_within_true_class,true_class,predicted_class,x1,x2,g_true,g_predicted,conditional_risk_true,conditional_risk_predicted
"mu2_[1.5,1.5]",BME,2,2,1,2,0.9726027757283947,1.8237595262469846,-2.619912246986303,-1.8790064920478549,,
"mu2_[1.5,1.5]",BME,3,3,1,2,1.0605706678245106,1.8081369326557786,-2.563471603842684,-1.6417026026419614,,
"mu2_[1.5,1.5]",BME,5,5,1,2,1.6930163221216543,1.145328072623983,-2.175066013084256,-1.3292050262201627,,
"mu2_[1.5,1.5]",BME,6,6,1,2,1.4537712832938952,2.120385313304956,-4.574515404064273,-1.8891239125671446,,
"mu2_[1.5,1.5]",BME,9,9,1,2,1.4601594697126266,1.1317776712875203,-1.4943665650756088,-1.264523712575242,,
"mu2_[1.5,1.5]",BME,12,12,1,2,1.4385255162134545,1.4721653697602541,-1.9596982464629757,-0.9329710315287044,,
"mu2_[1.5,1.5]",BME,14,14,1,2,1.3727102457679676,1.876898954406669,-3.1912480933850107,-1.3172250929484193,,
"mu2_[1.5,1.5]",BME,15,15,1,2,1.9924571085881215,1.4824417370177687,-3.9658891895447317,-1.5286420755300054,,
"mu2_[1.5,1.5]",BME,24,24,1,2,1.6163572831067121,1.2514760603049633,-2.0294276078981732,-1.1098442493689848,,
"mu2_[1.5,1.5]",BME,48,48,1,2,1.6269251581235364,1.142856816063425,-1.9551943939951912,-1.2807394585277878,,
"mu2_[1.5,1.5]",BME,50,50,1,2,1.772944462849547,1.0262089983697813,-2.416911470148495,-1.6690278171001744,,
"mu2_[1.5,1.5]",BME,53,53,1,2,2.2724070071947304,1.0695409533865265,-4.9812251749255845,-2.8763552734724427,,
"mu2_[1.5,1.5]",BME,58,58,1,2,1.1330238762712472,1.7366267262849444,-2.3223720483739467,-1.3982455419834676,,
"mu2_[1.5,1.5]",BME,65,65,1,2,1.0451194946174966,1.7832114728634862,-2.4602262845840146,-1.6393988658815575,,
"mu2_[1.5,1.5]",BME,70,70,1,2,1.202895129033262,1.3186988888638975,-1.2784248724064575,-1.2244398276635589,,
"mu2_[1.5,1.5]",BME,72,72,1,2,1.985264074873713,0.8748474019030612,-3.387607509653109,-2.487328817711173,,
"mu2_[1.5,1.5]",BME,73,73,1,2,1.5606736378967343,1.1568581447713642,-1.7689848490688718,-1.2251553923986256,,
"mu2_[1.5,1.5]",BME,74,74,1,2,1.7486962395528436,1.5825886500278123,-3.1714753201896846,-1.093263096238045,,
"mu2_[1.5,1.5]",BME,79,79,1,2,1.5015392273629866,1.3642548702693962,-1.882144352282281,-0.967659108201324,,
"mu2_[1.5,1.5]",BME,80,80,1,2,1.073633184308927,1.450889672965723,-1.443394692081713,-1.382087548895088,,
"mu2_[1.5,1.5]",BME,87,87,1,2,0.759853924309037,1.9093471825180406,-3.133042424593361,-2.7100396575256678,,
"mu2_[1.5,1.5]",BME,88,88,1,2,0.8850384992149288,1.7220073943270724,-2.2578633948495015,-1.9902486609944985,,
"mu2_[1.5,1.5]",BME,89,89,1,2,1.334135095572631,1.4813737198455705,-1.780003635163423,-0.9912315966179193,,
"mu2_[1.5,1.5]",BME,90,90,1,2,1.270791731687334,1.4687429073183607,-1.6542065223139262,-1.0553699247996895,,
"mu2_[1.5,1.5]",BME,93,93,1,2,1.0951489997471264,1.4323228885854178,-1.4114773649044858,-1.3427976440731255,,
"mu2_[1.5,1.5]",BME,95,95,1,2,2.2409116850866395,0.8861716882087312,-4.803633071409724,-3.235924638171298,,
"mu2_[1.5,1.5]",BME,97,97,1,2,0.9118638123788779,1.6210018899944063,-1.9051146718977163,-1.8229504159645056,,
"mu2_[1.5,1.5]",BME,98,98,1,2,1.4088650881421783,1.511520910285883,-1.9936470894382143,-0.9426820933680611,,
"mu2_[1.5,1.5]",BME,99,99,1,2,1.0980887973741258,1.6958433014973975,-2.1561346155579413,-1.421304368379133,,
"mu2_[1.5,1.5]",BME,101,1,2,1,0.97159590257667,1.361980222234553,-1.667237207605659,-1.2511775196337163,,
"mu2_[1.5,1.5]",BME,110,10,2,1,0.7596717195489143,1.324707873816061,-2.368619565379559,-1.3295685487919968,,
"mu2_[1.5,1.5]",BME,114,14,2,1,0.6985322340317629,1.556049069558327,-2.535316529746368,-1.9217697887215923,,
"mu2_[1.5,1.5]",BME,116,16,2,1,1.2913523673458642,1.0609073875090567,-1.5124267269259326,-1.1430761140632348,,
"mu2_[1.5,1.5]",BME,119,19,2,1,0.7752689244885161,0.7112286448521942,-3.790074790819536,-1.2563187141713117,,
"mu2_[1.5,1.5]",BME,122,22,2,1,1.3184291187533594,1.145772018279755,-1.31769995441089,-1.2282027969936762,,
"mu2_[1.5,1.5]",BME,127,27,2,1,0.8017957619051311,1.6363000211745267,-2.186753469199722,-2.031992926898867,,
"mu2_[1.5,1.5]",BME,129,29,2,1,0.8311491727892537,1.5143438289608444,-2.040504270759584,-1.6542367751348295,,
"mu2_[1.5,1.5]",BME,143,43,2,1,0.9109338219579914,1.5273734124202536,-1.790956999086562,-1.6367250850321744,,
"mu2_[1.5,1.5]",BME,147,47,2,1,0.6538314758201528,1.0310168918846554,-3.261452152060765,-1.223573071322785,,
"mu2_[1.5,1.5]",BME,156,56,2,1,0.986268746320102,1.2193740835533065,-1.778263099507856,-1.0423701741913773,,
"mu2_[1.5,1.5]",BME,158,58,2,1,1.3380394247716858,1.0963842712227831,-1.3944285456468162,-1.2304877856329886,,
"mu2_[1.5,1.5]",BME,161,61,2,1,0.9073565252190634,1.41927791761432,-1.8159421914979483,-1.3825282985814065,,
"mu2_[1.5,1.5]",BME,165,65,2,1,0.9659685861948752,1.3755026400290133,-1.673309193461305,-1.2769872590210265,,
"mu2_[1.5,1.5]",BME,169,69,2,1,0.7024145115362054,1.3109156572699847,-2.60132508471937,-1.384650506734845,,
"mu2_[1.5,1.5]",BME,174,74,2,1,0.957778742293,1.2995080424854957,-1.7570886278785873,-1.1503055898248262,,
"mu2_[1.5,1.5]",BME,175,75,2,1,1.0178708144728021,0.9428594723388919,-2.278721632284233,-0.9305473493134683,,
"mu2_[1.5,1.5]",BME,179,79,2,1,0.7299123515950288,1.038685774690875,-2.9362008362813317,-1.1076961519960915,,
"mu2_[1.5,1.5]",BME,183,83,2,1,0.8034134406926138,1.287040745091727,-2.248047531682164,-1.224182996143016,,
"mu2_[1.5,1.5]",BME,185,85,2,1,0.9858241217295622,1.2031183621608792,-1.8028751862382277,-1.0252313959643313,,
"mu2_[1.5,1.5]",BME,186,86,2,1,0.9346201730123185,1.0640984645425664,-2.1957475779821127,-0.9425441718693248,,
"mu2_[1.5,1.5]",BME,188,88,2,1,0.6145590426618497,1.7814546499232464,-3.0796423567734834,-2.8196765882362245,,
"mu2_[1.5,1.5]",BME,192,92,2,1,1.0033928841334478,0.9071888986277604,-2.4166954081338474,-0.9431498650368682,,
"mu2_[1.5,1.5]",BME,194,94,2,1,0.7779762577999513,1.7137452478694402,-2.3390996227535172,-2.3184033869269958,,
"mu2_[1.5,1.5]",BME,200,100,2,1,1.339817100564391,0.9578198649866626,-1.7206309847218884,-1.2147233985995225,,
"mu2_[1.5,1.5]",BMR,2,2,1,2,0.9726027757283947,1.8237595262469846,-2.619912246986303,-1.8790064920478549,0.6771938881442991,0.16140305592785045
"mu2_[1.5,1.5]",BMR,3,3,1,2,1.0605706678245106,1.8081369326557786,-2.563471603842684,-1.6417026026419614,0.7154024147299387,0.14229879263503065
"mu2_[1.5,1.5]",BMR,5,5,1,2,1.6930163221216543,1.145328072623983,-2.175066013084256,-1.3292050262201627,0.6996981698737335,0.15015091506313327
"mu2_[1.5,1.5]",BMR,6,6,1,2,1.4537712832938952,2.120385313304956,-4.574515404064273,-1.8891239125671446,0.9361591060732436,0.031920446963378216
"mu2_[1.5,1.5]",BMR,9,9,1,2,1.4601594697126266,1.1317776712875203,-1.4943665650756088,-1.264523712575242,0.557209082397068,0.22139545880146602
"mu2_[1.5,1.5]",BMR,12,12,1,2,1.4385255162134545,1.4721653697602541,-1.9596982464629757,-0.9329710315287044,0.7362809063956668,0.13185954680216666
"mu2_[1.5,1.5]",BMR,14,14,1,2,1.3727102457679676,1.876898954406669,-3.1912480933850107,-1.3172250929484193,0.8669230862556802,0.06653845687215994
"mu2_[1.5,1.5]",BMR,15,15,1,2,1.9924571085881215,1.4824417370177687,-3.9658891895447317,-1.5286420755300054,0.9196238408832067,0.04018807955839671
"mu2_[1.5,1.5]",BMR,19,19,1,2,1.181593613806201,1.0621994981635834,-1.0136988799026836,-1.6542160999782225,0.3451296304490448,0.3274351847754776
"mu2_[1.5,1.5]",BMR,24,24,1,2,1.6163572831067121,1.2514760603049633,-2.0294276078981732,-1.1098442493689848,0.7149572045239638,0.14252139773801803
"mu2_[1.5,1.5]",BMR,25,25,1,2,1.3479855378859307,1.0798762199796277,-1.2402716972751762,-1.4206173026112805,0.4550354037114325,0.27248229814428376
"mu2_[1.5,1.5]",BMR,38,38,1,2,1.3514497438195723,0.9690565975906064,-1.232772375993972,-1.6815065224685255,0.3896617761855853,0.30516911190720736
"mu2_[1.5,1.5]",BMR,44,44,1,2,1.2170870698492224,1.0121648476260534,-1.039773283068906,-1.7166434893807168,0.33696019771008395,0.33151990114495805
"mu2_[1.5,1.5]",BMR,45,45,1,2,1.691407500752157,0.6135611459986314,-2.4900346344807778,-2.977613017603807,0.38046420440032763,0.30976789779983616
"mu2_[1.5,1.5]",BMR,48,48,1,2,1.6269251581235364,1.142856816063425,-1.9551943939951912,-1.2807394585277878,0.662499974939525,0.1687500125302375
"mu2_[1.5,1.5]",BMR,50,50,1,2,1.772944462849547,1.0262089983697813,-2.416911470148495,-1.6690278171001744,0.6787173830086711,0.16064130849566446
"mu2_[1.5,1.5]",BMR,53,53,1,2,2.2724070071947304,1.0695409533865265,-4.9812251749255845,-2.8763552734724427,0.8913756071619127,0.054312196419043675
"mu2_[1.5,1.5]",BMR,57,57,1,2,1.097529287865793,1.3212137875699261,-1.2033119828267562,-1.4064542942374585,0.44938835095218516,0.27530582452390745
"mu2_[1.5,1.5]",BMR,58,58,1,2,1.1330238762712472,1.7366267262849444,-2.3223720483739467,-1.3982455419834676,0.7158821631850742,0.14205891840746288
"mu2_[1.5,1.5]",BMR,65,65,1,2,1.0451194946174966,1.7832114728634862,-2.4602262845840146,-1.6393988658815575,0.6944119498997707,0.1527940250501146
"mu2_[1.5,1.5]",BMR,66,66,1,2,1.0771851656966027,1.3810761889440677,-1.2995278634945575,-1.4038744768928813,0.4739369906657458,0.26303150466712716
"mu2_[1.5,1.5]",BMR,70,70,1,2,1.202895129033262,1.3186988888638975,-1.2784248724064575,-1.2244398276635589,0.5134929843655538,0.24325350781722313
"mu2_[1.5,1.5]",BMR,72,72,1,2,1.985264074873713,0.8748474019030612,-3.387607509653109,-2.487328817711173,0.7110067705375785,0.1444966147312107
"mu2_[1.5,1.5]",BMR,73,73,1,2,1.5606736378967343,1.1568581447713642,-1.7689848490688718,-1.2251553923986256,0.6327027964326647,0.1836486017836676
"mu2_[1.5,1.5]",BMR,74,74,1,2,1.7486962395528436,1.5825886500278123,-3.1714753201896846,-1.093263096238045,0.8887674167356245,0.055616291632187745
"mu2_[1.5,1.5]",BMR,76,76,1,2,1.105425541237924,1.2836439747749098,-1.1505074574637375,-1.4278336674316532,0.4311094128357005,0.28444529358214976
"mu2_[1.5,1.5]",BMR,77,77,1,2,1.1555211836256447,1.245206074191934,-1.1323684779775447,-1.380550333433598,0.4382710569250817,0.28086447153745914
"mu2_[1.5,1.5]",BMR,79,79,1,2,1.5015392273629866,1.3642548702693962,-1.882144352282281,-0.967659108201324,0.7139171048778927,0.1430414475610536
"mu2_[1.5,1.5]",BMR,80,80,1,2,1.073633184308927,1.450889672965723,-1.443394692081713,-1.382087548895088,0.5153219870392088,0.24233900648039555
"mu2_[1.5,1.5]",BMR,87,87,1,2,0.759853924309037,1.9093471825180406,-3.133042424593361,-2.7100396575256678,0.6042015619055078,0.19789921904724606
"mu2_[1.5,1.5]",BMR,88,88,1,2,0.8850384992149288,1.7220073943270724,-2.2578633948495015,-1.9902486609944985,0.5665072321541937,0.21674638392290313
"mu2_[1.5,1.5]",BMR,89,89,1,2,1.334135095572631,1.4813737198455705,-1.780003635163423,-0.9912315966179193,0.6875676026512392,0.1562161986743804
"mu2_[1.5,1.5]",BMR,90,90,1,2,1.270791731687334,1.4687429073183607,-1.6542065223139262,-1.0553699247996895,0.6453900929900994,0.17730495350495024
"mu2_[1.5,1.5]",BMR,92,92,1,2,1.1201970288303436,1.352218133829464,-1.2678486833800722,-1.336810776730553,0.48276630607858284,0.2586168469607086
"mu2_[1.5,1.5]",BMR,93,93,1,2,1.0951489997471264,1.4323228885854178,-1.4114773649044858,-1.3427976440731255,0.5171631843136795,0.24141840784316027
"mu2_[1.5,1.5]",BMR,94,94,1,2,1.4861705708654913,0.9565071078760322,-1.5172199736376524,-1.6605257767838437,0.46423473621061256,0.26788263189469375
"mu2_[1.5,1.5]",BMR,95,95,1,2,2.2409116850866395,0.8861716882087312,-4.803633071409724,-3.235924638171298,0.827456681883013,0.08627165905849346
"mu2_[1.5,1.5]",BMR,97,97,1,2,0.9118638123788779,1.6210018899944063,-1.9051146718977163,-1.8229504159645056,0.5205295157791381,0.23973524211043098
"mu2_[1.5,1.5]",BMR,98,98,1,2,1.4088650881421783,1.511520910285883,-1.9936470894382143,-0.9426820933680611,0.7409601618551903,0.12951991907240484
"mu2_[1.5,1.5]",BMR,99,99,1,2,1.0980887973741258,1.6958433014973975,-2.1561346155579413,-1.421304368379133,0.6758643407913606,0.16206782960431973
"mu2_[1.5,1.5]",BMR,100,100,1,2,1.530462728084216,0.7247739067094758,-1.8144366053214736,-2.4263450183372437,0.351623986116838,0.32418800694158095
"mu2_[1.5,1.5]",BMR,110,10,2,1,0.7596717195489143,1.324707873816061,-2.368619565379559,-1.3295685487919968,0.3693334287975448,0.26133314240491035
"mu2_[1.5,1.5]",BMR,119,19,2,1,0.7752689244885161,0.7112286448521942,-3.790074790819536,-1.2563187141713117,0.46323731263795426,0.07352537472409147
"mu2_[1.5,1.5]",BMR,147,47,2,1,0.6538314758201528,1.0310168918846554,-3.261452152060765,-1.223573071322785,0.4423585630227342,0.11528287395453163
"mu2_[1.5,1.5]",BMR,156,56,2,1,0.986268746320102,1.2193740835533065,-1.778263099507856,-1.0423701741913773,0.3380485500058292,0.32390289998834176
