classifier,class,parameter,row,column,value
LOO classifier 1 (database sample 1 left out),1,mean_1,,,1.463265306122449
LOO classifier 1 (database sample 1 left out),1,mean_2,,,5.004081632653061
LOO classifier 1 (database sample 1 left out),1,mean_3,,,3.426530612244899
LOO classifier 1 (database sample 1 left out),1,mean_4,,,0.246938775510204
LOO classifier 1 (database sample 1 left out),1,covariance,1,1,0.030079133694294043
LOO classifier 1 (database sample 1 left out),1,covariance,1,2,0.01647646813827571
LOO classifier 1 (database sample 1 left out),1,covariance,1,3,0.011790920449812567
LOO classifier 1 (database sample 1 left out),1,covariance,1,4,0.006009995835068722
LOO classifier 1 (database sample 1 left out),1,covariance,2,1,0.01647646813827571
LOO classifier 1 (database sample 1 left out),1,covariance,2,2,0.12406497292794659
LOO classifier 1 (database sample 1 left out),1,covariance,2,3,0.09907538525614323
LOO classifier 1 (database sample 1 left out),1,covariance,2,4,0.010420658059142024
LOO classifier 1 (database sample 1 left out),1,covariance,3,1,0.011790920449812567
LOO classifier 1 (database sample 1 left out),1,covariance,3,2,0.09907538525614323
LOO classifier 1 (database sample 1 left out),1,covariance,3,3,0.1435818408996251
LOO classifier 1 (database sample 1 left out),1,covariance,3,4,0.009366930445647643
LOO classifier 1 (database sample 1 left out),1,covariance,4,1,0.006009995835068722
LOO classifier 1 (database sample 1 left out),1,covariance,4,2,0.010420658059142024
LOO classifier 1 (database sample 1 left out),1,covariance,4,3,0.009366930445647643
LOO classifier 1 (database sample 1 left out),1,covariance,4,4,0.01106205747605164
LOO classifier 1 (database sample 1 left out),2,mean_1,,,4.26
LOO classifier 1 (database sample 1 left out),2,mean_2,,,5.936
LOO classifier 1 (database sample 1 left out),2,mean_3,,,2.7700000000000005
LOO classifier 1 (database sample 1 left out),2,mean_4,,,1.3259999999999998
LOO classifier 1 (database sample 1 left out),2,covariance,1,1,0.21640000000000012
LOO classifier 1 (database sample 1 left out),2,covariance,1,2,0.1792400000000001
LOO classifier 1 (database sample 1 left out),2,covariance,1,3,0.08100000000000003
LOO classifier 1 (database sample 1 left out),2,covariance,1,4,0.07164
LOO classifier 1 (database sample 1 left out),2,covariance,2,1,0.1792400000000001
LOO classifier 1 (database sample 1 left out),2,covariance,2,2,0.2611040000000001
LOO classifier 1 (database sample 1 left out),2,covariance,2,3,0.08347999999999998
LOO classifier 1 (database sample 1 left out),2,covariance,2,4,0.054664000000000004
LOO classifier 1 (database sample 1 left out),2,covariance,3,1,0.08100000000000003
LOO classifier 1 (database sample 1 left out),2,covariance,3,2,0.08347999999999998
LOO classifier 1 (database sample 1 left out),2,covariance,3,3,0.09650000000000002
LOO classifier 1 (database sample 1 left out),2,covariance,3,4,0.04038
LOO classifier 1 (database sample 1 left out),2,covariance,4,1,0.07164
LOO classifier 1 (database sample 1 left out),2,covariance,4,2,0.054664000000000004
LOO classifier 1 (database sample 1 left out),2,covariance,4,3,0.04038
LOO classifier 1 (database sample 1 left out),2,covariance,4,4,0.03832399999999998
LOO classifier 1 (database sample 1 left out),3,mean_1,,,5.552
LOO classifier 1 (database sample 1 left out),3,mean_2,,,6.587999999999998
LOO classifier 1 (database sample 1 left out),3,mean_3,,,2.9739999999999998
LOO classifier 1 (database sample 1 left out),3,mean_4,,,2.026
LOO classifier 1 (database sample 1 left out),3,covariance,1,1,0.29849600000000015
LOO classifier 1 (database sample 1 left out),3,covariance,1,2,0.29722400000000004
LOO classifier 1 (database sample 1 left out),3,covariance,1,3,0.06995199999999999
LOO classifier 1 (database sample 1 left out),3,covariance,1,4,0.047847999999999995
LOO classifier 1 (database sample 1 left out),3,covariance,2,1,0.29722400000000004
LOO classifier 1 (database sample 1 left out),3,covariance,2,2,0.39625599999999994
LOO classifier 1 (database sample 1 left out),3,covariance,2,3,0.09188799999999998
LOO classifier 1 (database sample 1 left out),3,covariance,2,4,0.048112000000000016
LOO classifier 1 (database sample 1 left out),3,covariance,3,1,0.06995199999999999
LOO classifier 1 (database sample 1 left out),3,covariance,3,2,0.09188799999999998
LOO classifier 1 (database sample 1 left out),3,covariance,3,3,0.10192400000000007
LOO classifier 1 (database sample 1 left out),3,covariance,3,4,0.046676
LOO classifier 1 (database sample 1 left out),3,covariance,4,1,0.047847999999999995
LOO classifier 1 (database sample 1 left out),3,covariance,4,2,0.048112000000000016
LOO classifier 1 (database sample 1 left out),3,covariance,4,3,0.046676
LOO classifier 1 (database sample 1 left out),3,covariance,4,4,0.07392399999999999
