classifier,class,parameter,row,column,value
LOO classifier 1 (database sample 1 left out),1,mean_1,,,13.736379310344828
LOO classifier 1 (database sample 1 left out),1,mean_2,,,2.015862068965518
LOO classifier 1 (database sample 1 left out),1,mean_3,,,2.4560344827586214
LOO classifier 1 (database sample 1 left out),1,mean_4,,,17.06206896551724
LOO classifier 1 (database sample 1 left out),1,mean_5,,,105.98275862068965
LOO classifier 1 (database sample 1 left out),1,mean_6,,,2.840862068965517
LOO classifier 1 (database sample 1 left out),1,covariance,1,1,0.20942999405469692
LOO classifier 1 (database sample 1 left out),1,covariance,1,2,-0.010332223543400649
LOO classifier 1 (database sample 1 left out),1,covariance,1,3,-0.015381599286563633
LOO classifier 1 (database sample 1 left out),1,covariance,1,4,-0.3623959571938169
LOO classifier 1 (database sample 1 left out),1,covariance,1,5,0.597351367419739
LOO classifier 1 (database sample 1 left out),1,covariance,1,6,0.06623932818073723
LOO classifier 1 (database sample 1 left out),1,covariance,2,1,-0.010332223543400649
LOO classifier 1 (database sample 1 left out),1,covariance,2,2,0.47251391200951254
LOO classifier 1 (database sample 1 left out),1,covariance,2,3,0.003966349583828762
LOO classifier 1 (database sample 1 left out),1,covariance,2,4,0.09767063020214022
LOO classifier 1 (database sample 1 left out),1,covariance,2,5,0.6823424494649228
LOO classifier 1 (database sample 1 left out),1,covariance,2,6,-0.01970332936979784
LOO classifier 1 (database sample 1 left out),1,covariance,3,1,-0.015381599286563633
LOO classifier 1 (database sample 1 left out),1,covariance,3,2,0.003966349583828762
LOO classifier 1 (database sample 1 left out),1,covariance,3,3,0.051592895362663496
LOO classifier 1 (database sample 1 left out),1,covariance,3,4,0.3171082045184304
LOO classifier 1 (database sample 1 left out),1,covariance,3,5,0.9216557669441141
LOO classifier 1 (database sample 1 left out),1,covariance,3,6,0.00035169441141498134
LOO classifier 1 (database sample 1 left out),1,covariance,4,1,-0.3623959571938169
LOO classifier 1 (database sample 1 left out),1,covariance,4,2,0.09767063020214022
LOO classifier 1 (database sample 1 left out),1,covariance,4,3,0.3171082045184304
LOO classifier 1 (database sample 1 left out),1,covariance,4,4,6.447526753864448
LOO classifier 1 (database sample 1 left out),1,covariance,4,5,6.892449464922709
LOO classifier 1 (database sample 1 left out),1,covariance,4,6,-0.19348454221165284
LOO classifier 1 (database sample 1 left out),1,covariance,5,1,0.597351367419739
LOO classifier 1 (database sample 1 left out),1,covariance,5,2,0.6823424494649228
LOO classifier 1 (database sample 1 left out),1,covariance,5,3,0.9216557669441141
LOO classifier 1 (database sample 1 left out),1,covariance,5,4,6.892449464922709
LOO classifier 1 (database sample 1 left out),1,covariance,5,5,102.74108204518436
LOO classifier 1 (database sample 1 left out),1,covariance,5,6,1.1079458977407848
LOO classifier 1 (database sample 1 left out),1,covariance,6,1,0.06623932818073723
LOO classifier 1 (database sample 1 left out),1,covariance,6,2,-0.01970332936979784
LOO classifier 1 (database sample 1 left out),1,covariance,6,3,0.00035169441141498134
LOO classifier 1 (database sample 1 left out),1,covariance,6,4,-0.19348454221165284
LOO classifier 1 (database sample 1 left out),1,covariance,6,5,1.1079458977407848
LOO classifier 1 (database sample 1 left out),1,covariance,6,6,0.11486649821640904
LOO classifier 1 (database sample 1 left out),2,mean_1,,,12.278732394366198
LOO classifier 1 (database sample 1 left out),2,mean_2,,,1.932676056338028
LOO classifier 1 (database sample 1 left out),2,mean_3,,,2.244788732394365
LOO classifier 1 (database sample 1 left out),2,mean_4,,,20.238028169014086
