sample_number_overall,sample_number_within_actual_class,actual_class,misclassified_to,g_actual,g_predicted
42,42,1,2,-15.108289631921272,-12.464672510542279
45,45,1,2,-10.85583853919215,-10.846678185479805
69,10,2,1,-13.622809938901623,-8.401175256563091
71,12,2,3,-10.704846406112702,-10.00326772974999
72,13,2,3,-17.902911313705456,-14.624538314968964
84,25,2,3,-12.037801039903577,-7.899752056445297
119,60,2,3,-11.963674521677794,-10.677252817572287
123,64,2,3,-12.866427886333163,-11.535188793440001
131,1,3,2,-12.091621582296812,-11.521497299014452
133,3,3,2,-11.934911652653453,-11.469278774883433
135,5,3,2,-12.896400907604354,-9.136068547652984
155,25,3,2,-11.557869545896688,-9.483357376496956
158,28,3,2,-13.573278399037624,-10.633454695672185
159,29,3,1,-17.09456708760443,-16.365680464815814
160,30,3,1,-11.88103787229514,-10.967511143649725
161,31,3,2,-11.83327837232798,-9.793352878629397
