class,sample,x1,x2
omega1,1,0.1,1.1
omega1,2,6.8,7.1
omega1,3,-3.5,-4.1
omega1,4,2.0,2.7
omega1,5,4.1,2.8
omega1,6,3.1,5.0
omega1,7,-0.8,-1.3
omega1,8,0.9,1.2
omega1,9,5.0,6.4
omega1,10,3.9,4.0
omega2,1,7.1,4.2
omega2,2,-1.4,-4.3
omega2,3,4.5,0.0
omega2,4,6.3,1.6
omega2,5,4.2,1.9
omega2,6,1.4,-3.2
omega2,7,2.4,-4.0
omega2,8,2.5,-6.1
omega2,9,8.4,3.7
omega2,10,4.1,-2.2
omega3,1,-3.0,-2.9
omega3,2,0.5,8.7
omega3,3,2.9,2.1
omega3,4,-0.1,5.2
omega3,5,-4.0,2.2
omega3,6,-1.3,3.7
omega3,7,-3.4,6.2
omega3,8,-4.1,3.4
omega3,9,-5.1,1.6
omega3,10,1.9,5.1
omega4,1,-2.0,-8.4
omega4,2,-8.9,0.2
omega4,3,-4.2,-7.7
omega4,4,-8.5,-3.2
omega4,5,-6.7,-4.0
omega4,6,-0.5,-9.2
omega4,7,-5.3,-6.7
omega4,8,-7.1,-9.7
omega4,9,-7.1,-9.7
omega4,10,-8.0,-6.3
