sample_no,true_class,predicted_class,x1,x2,output_node_1,output_node_2
11,1,2,0.514235,0.51151,0.49586060938544835,0.504042308655647
16,1,2,0.646909,0.359998,0.046271017254592185,0.9542082174748565
25,1,2,0.512555,0.389556,0.4467846098186606,0.5525765398444171
37,1,2,0.600282,0.534144,0.08511682493377531,0.9150693525256675
66,1,2,0.566537,0.402272,0.13636078600467497,0.8634090247155196
94,1,2,0.565492,0.461995,0.149548918719217,0.8502440113156997
98,1,2,0.525036,0.461952,0.37527448768240196,0.6242701836562898
120,1,2,0.546774,0.494012,0.2375808120120757,0.7620570757631067
133,1,2,0.542791,0.626555,0.31269524748625654,0.6872606608787705
134,1,2,0.525676,0.614193,0.44673685869307733,0.553411663655384
148,1,2,0.553822,0.423154,0.18382678429460309,0.8157810375241528
151,1,2,0.515611,0.403821,0.4269336325773417,0.5724577770859548
154,1,2,0.558005,0.611219,0.2145667804533197,0.7853255086318762
197,1,2,0.53955,0.516928,0.29027381990625184,0.7093918604966913
211,1,2,0.542127,0.41793,0.2389055402163444,0.7605544989929667
212,1,2,0.513037,0.495266,0.4981613212911596,0.5016871346813182
214,1,2,0.525403,0.268747,0.28920078495536217,0.7097377157169364
221,1,2,0.581943,0.410433,0.10272739496515496,0.897247529130671
229,1,2,0.548514,0.465009,0.21935583231087916,0.7802461518509499
269,1,2,0.552002,0.357933,0.1761729974523346,0.82334159638577
295,1,2,0.600898,0.385122,0.07485835639708034,0.9253120228233903
298,1,2,0.520181,0.514388,0.44342241634403007,0.5563922957304888
318,1,2,0.537776,0.278715,0.21973523584874158,0.7794322419432651
347,1,2,0.518525,0.548615,0.4764771177697319,0.5235175148534699
376,1,2,0.550281,0.37675,0.18752788474335214,0.8119788217133066
377,1,2,0.558649,0.555602,0.19608084261632355,0.8037342848229455
380,1,2,0.572273,0.471634,0.1315089721794559,0.8683726784776802
398,1,2,0.533265,0.471799,0.31587323323194,0.6836709124835278
451,1,2,0.520445,0.462226,0.41427216269091727,0.5853163587359755
465,1,2,0.532137,0.508416,0.34030176702559317,0.6593603819512265
481,1,2,0.55771,0.535327,0.19498965351331826,0.8047920870139524
486,1,2,0.513592,0.481918,0.48594244015460575,0.5138334789409241
490,1,2,0.583481,0.534005,0.11338156155942222,0.8866500982780375
491,1,2,0.555633,0.499637,0.19499538185005022,0.8047227221414587
492,1,2,0.614394,0.543056,0.07014496591816247,0.9301507225451485
510,2,1,0.481313,0.490084,0.7570216765365647,0.24325971046851422
515,2,1,0.420043,0.501253,0.942830973840228,0.05715863876641202
529,2,1,0.492859,0.538414,0.6954354634368609,0.30493804374432293
548,2,1,0.512989,0.552279,0.5292110137345399,0.47090541715135803
553,2,1,0.499879,0.590056,0.6637563477528913,0.33674345152299373
571,2,1,0.469376,0.427727,0.8058155075891694,0.19430746850925862
577,2,1,0.504836,0.447057,0.5478378057206612,0.45192736491910573
582,2,1,0.471365,0.608116,0.8431575548053413,0.1573842550980713
598,2,1,0.488016,0.476363,0.7050663692147643,0.2951108357078823
629,2,1,0.505469,0.421249,0.5283084870913956,0.47131552635142004
646,2,1,0.497517,0.590653,0.682843176347951,0.3176837856522403
691,2,1,0.506251,0.57577,0.6025822879662135,0.39776594891149597
717,2,1,0.488968,0.427934,0.6762837222018532,0.32367006765036876
741,2,1,0.476349,0.446663,0.7726067565370696,0.2275516730778668
747,2,1,0.478158,0.365141,0.73079189846443,0.2690305738686029
787,2,1,0.452278,0.712227,0.9130654348770147,0.08735897418044478
790,2,1,0.509373,0.502258,0.5355985916571757,0.4643511730407041
791,2,1,0.485372,0.612658,0.775139178425795,0.22549756716443467
833,2,1,0.418746,0.507711,0.9443872947168221,0.055599012130176595
836,2,1,0.47158,0.522606,0.8211759441311735,0.1792005347578816
839,2,1,0.517048,0.613431,0.5249191316817035,0.47539582737887975
846,2,1,0.489045,0.667961,0.77227029606595,0.22851083359710836
850,2,1,0.480939,0.45111,0.7450021101918528,0.2551426047139356
852,2,1,0.502111,0.663317,0.6800857955413626,0.32066117619857665
871,2,1,0.470481,0.416488,0.7966015384289384,0.20348293944044793
886,2,1,0.493673,0.60262,0.7169336836152053,0.2836635484209287
909,2,1,0.507691,0.53149,0.5665295783488306,0.43359089655082395
917,2,1,0.467009,0.420877,0.8158679824066459,0.1842393256305628
940,2,1,0.476309,0.522526,0.7972769848628697,0.20311085394717118
963,2,1,0.487481,0.53038,0.7312463924963178,0.2691401104502905
964,2,1,0.479174,0.518886,0.7800772179549669,0.2203008796105562
969,2,1,0.51103,0.55951,0.5510343422461851,0.4491532676033624
983,2,1,0.482575,0.478132,0.7443264762835455,0.25590579535767466
