Initial Values of the Weights,,,,,,
,,,,,,
Input to Hidden Weights,,,,Hidden to Output Weights,,
From Input,To Hidden,,,From Hidden,To Output,
1,1,10.312664811476628,,1,1,-1.9524048611636555
1,2,-22.98352890164961,,2,1,5.403473449919709
1,3,-1.6907994412462404,,3,1,0.5493559536244274
1,4,-6.082618523661097,,4,1,2.466649821058801
2,1,-0.6889004071700279,,1,2,2.0667472339955695
2,2,1.4724006866236885,,2,2,-5.32913058820763
2,3,-0.6739257215865248,,3,2,-0.6159082169479954
2,4,-0.9066476438909074,,4,2,-2.6061837611465157
Bias Node (+1),1,-5.163270209164302,,Bias Node (+1),1,-1.7938569889853053
Bias Node (+1),2,10.876936770290786,,Bias Node (+1),2,1.7232297334603777
Bias Node (+1),3,-1.1385291862320157,,,,
Bias Node (+1),4,0.889837754840124,,,,
,,,,,,
,,,,,,
Learning Rate,,0.2,,,,
# Iterations,,500,,,,
