scenario_id,obstacle_id,is_dynamic,samples,mean_x,mean_y,radius
1,0,False,100,2.0,2.5,0.6
1,1,False,100,4.0,5.5,0.7
1,2,False,100,7.5,4.0,0.6
1,3,True,100,3.0910770000000003,3.0312400000000004,0.5
1,4,True,100,4.988036,3.9620979999999997,0.5
1,5,True,100,2.4720619999999998,5.9887120000000005,0.5
1,6,True,100,6.5270600000000005,6.371148,0.5
1,7,True,100,4.577857,2.014646,0.5
2,0,False,100,2.0,2.5,0.6
2,1,False,100,4.0,5.5,0.7
2,2,False,100,7.5,4.0,0.6
2,3,True,100,3.0910770000000003,3.0312400000000004,0.5
2,4,True,100,4.988036,3.9620979999999997,0.5
2,5,True,100,2.4720619999999998,5.9887120000000005,0.5
2,6,True,100,6.5270600000000005,6.371148,0.5
2,7,True,100,4.577857,2.014646,0.5
3,0,False,100,2.0,2.5,0.6
3,1,False,100,4.0,5.5,0.7
3,2,False,100,7.5,4.0,0.6
3,3,True,100,3.0910770000000003,3.0312400000000004,0.5
3,4,True,100,4.988036,3.9620979999999997,0.5
3,5,True,100,2.4720619999999998,5.9887120000000005,0.5
3,6,True,100,6.5270600000000005,6.371148,0.5
3,7,True,100,4.577857,2.014646,0.5
4,0,False,100,2.0,2.5,0.6
4,1,False,100,4.0,5.5,0.7
4,2,False,100,7.5,4.0,0.6
4,3,True,100,3.0910770000000003,3.0312400000000004,0.5
4,4,True,100,4.988036,3.9620979999999997,0.5
4,5,True,100,2.4720619999999998,5.9887120000000005,0.5
4,6,True,100,6.5270600000000005,6.371148,0.5
4,7,True,100,4.577857,2.014646,0.5
5,0,False,100,2.0,2.5,0.6
5,1,False,100,4.0,5.5,0.7
5,2,False,100,7.5,4.0,0.6
5,3,True,100,3.0910770000000003,3.0312400000000004,0.5
5,4,True,100,4.988036,3.9620979999999997,0.5
5,5,True,100,2.4720619999999998,5.9887120000000005,0.5
5,6,True,100,6.5270600000000005,6.371148,0.5
5,7,True,100,4.577857,2.014646,0.5
