scenario_id,time_step,obstacle_id,is_dynamic,pos_x,pos_y,radius
1,0,0,False,2.0,2.5,0.6
1,0,1,False,4.0,5.5,0.7
1,0,2,False,7.5,4.0,0.6
1,0,3,True,3.0,3.6,0.5
1,0,4,True,5.4243,4.6364,0.5
1,0,5,True,3.2,6.0,0.5
1,0,6,True,6.933,6.85,0.5
1,0,7,True,4.95,2.3464,0.5
1,1,0,False,2.0,2.5,0.6
1,1,1,False,4.0,5.5,0.7
1,1,2,False,7.5,4.0,0.6
1,1,3,True,3.1196,3.5933,0.5
1,1,4,True,5.472,4.5556,0.5
1,1,5,True,3.1887,5.9105,0.5
1,1,6,True,6.9558,6.7877,0.5
1,1,7,True,5.0544,2.3151,0.5
1,2,0,False,2.0,2.5,0.6
1,2,1,False,4.0,5.5,0.7
1,2,2,False,7.5,4.0,0.6
1,2,3,True,3.2364,3.5732,0.5
1,2,4,True,5.513,4.4669,0.5
1,2,5,True,3.1551,5.8239,0.5
1,2,6,True,6.974,6.7226,0.5
1,2,7,True,5.1479,2.2776,0.5
1,3,0,False,2.0,2.5,0.6
1,3,1,False,4.0,5.5,0.7
1,3,2,False,7.5,4.0,0.6
1,3,3,True,3.348,3.5403,0.5
1,3,4,True,5.5465,4.3714,0.5
1,3,5,True,3.1004,5.7429,0.5
1,3,6,True,6.9876,6.6552,0.5
1,3,7,True,5.2287,2.2348,0.5
1,4,0,False,2.0,2.5,0.6
1,4,1,False,4.0,5.5,0.7
1,4,2,False,7.5,4.0,0.6
1,4,3,True,3.4517,3.4952,0.5
1,4,4,True,5.5722,4.2706,0.5
1,4,5,True,3.0263,5.6703,0.5
1,4,6,True,6.9962,6.5863,0.5
1,4,7,True,5.2953,2.1873,0.5
1,5,0,False,2.0,2.5,0.6
1,5,1,False,4.0,5.5,0.7
1,5,2,False,7.5,4.0,0.6
1,5,3,True,3.5453,3.439,0.5
1,5,4,True,5.5897,4.1659,0.5
1,5,5,True,2.9351,5.6083,0.5
1,5,6,True,6.9999,6.5165,0.5
1,5,7,True,5.3463,2.1361,0.5
1,6,0,False,2.0,2.5,0.6
1,6,1,False,4.0,5.5,0.7
1,6,2,False,7.5,4.0,0.6
1,6,3,True,3.6267,3.373,0.5
1,6,4,True,5.5987,4.0588,0.5
1,6,5,True,2.8299,5.559,0.5
1,6,6,True,6.9985,6.4466,0.5
1,6,7,True,5.3808,2.0823,0.5
