Algorithm,Step_Index,Coordinate_X,Coordinate_Y
D*,0,0.0,0.0
D*,1,6.0,7.0
PSO,0,0.0,0.0
PSO,1,0.037047,0.146214
PSO,2,0.076173,0.296533
PSO,3,0.117538,0.45041
PSO,4,0.161301,0.607302
PSO,5,0.207623,0.766661
PSO,6,0.256663,0.927942
PSO,7,0.308581,1.0906
PSO,8,0.363538,1.25409
PSO,9,0.421692,1.417864
PSO,10,0.483205,1.581378
PSO,11,0.548235,1.744087
PSO,12,0.616943,1.905444
PSO,13,0.689489,2.064904
PSO,14,0.766032,2.221921
PSO,15,0.846732,2.37595
PSO,16,0.93175,2.526445
PSO,17,1.021245,2.67286
PSO,18,1.115377,2.814651
PSO,19,1.214306,2.95127
PSO,20,1.318191,3.082173
PSO,21,1.427194,3.206814
PSO,22,1.541473,3.324647
PSO,23,1.661188,3.435127
PSO,24,1.7865,3.537708
PSO,25,1.917568,3.631845
PSO,26,2.054553,3.716991
PSO,27,2.197606,3.792615
PSO,28,2.346474,3.858938
PSO,29,2.500273,3.917351
PSO,30,2.658065,3.969342
PSO,31,2.818913,4.016399
PSO,32,2.981879,4.060013
PSO,33,3.146026,4.101671
PSO,34,3.310417,4.142862
PSO,35,3.474114,4.185075
PSO,36,3.636179,4.2298
PSO,37,3.795675,4.278525
PSO,38,3.951666,4.332738
PSO,39,4.103212,4.393929
PSO,40,4.249377,4.463587
PSO,41,4.389224,4.543199
PSO,42,4.521839,4.634209
PSO,43,4.646954,4.736826
PSO,44,4.764995,4.849932
PSO,45,4.876423,4.972342
PSO,46,4.981699,5.102873
PSO,47,5.081283,5.240341
PSO,48,5.175636,5.38356
PSO,49,5.265218,5.531349
PSO,50,5.35049,5.682521
PSO,51,5.431913,5.835894
PSO,52,5.509947,5.990283
PSO,53,5.585054,6.144504
PSO,54,5.657693,6.297373
PSO,55,5.728325,6.447707
PSO,56,5.797411,6.59432
PSO,57,5.865412,6.73603
PSO,58,5.932788,6.871651
PSO,59,6.0,7.0
LDW-PSO,0,0.0,0.0
LDW-PSO,1,0.036619,0.147893
LDW-PSO,2,0.07537,0.299663
LDW-PSO,3,0.116412,0.454776
LDW-PSO,4,0.159904,0.612695
LDW-PSO,5,0.206002,0.772886
LDW-PSO,6,0.254866,0.934813
LDW-PSO,7,0.306653,1.097941
LDW-PSO,8,0.361522,1.261734
LDW-PSO,9,0.419631,1.425656
LDW-PSO,10,0.481137,1.589173
LDW-PSO,11,0.5462,1.751749
LDW-PSO,12,0.614976,1.912848
LDW-PSO,13,0.687624,2.071936
LDW-PSO,14,0.764303,2.228476
LDW-PSO,15,0.845171,2.381933
LDW-PSO,16,0.930384,2.531773
LDW-PSO,17,1.020103,2.677458
LDW-PSO,18,1.114484,2.818455
LDW-PSO,19,1.213686,2.954227
LDW-PSO,20,1.317868,3.084239
LDW-PSO,21,1.427186,3.207956
LDW-PSO,22,1.5418,3.324842
LDW-PSO,23,1.661867,3.434362
LDW-PSO,24,1.787546,3.53598
LDW-PSO,25,1.918994,3.629162
LDW-PSO,26,2.05637,3.713371
LDW-PSO,27,2.1998,3.788133
LDW-PSO,28,2.348852,3.853999
LDW-PSO,29,2.502641,3.912367
LDW-PSO,30,2.660263,3.964662
LDW-PSO,31,2.820816,4.012309
LDW-PSO,32,2.983398,4.056734
LDW-PSO,33,3.147107,4.099359
LDW-PSO,34,3.31104,4.141611
LDW-PSO,35,3.474296,4.184914
LDW-PSO,36,3.635973,4.230693
LDW-PSO,37,3.795168,4.280373
LDW-PSO,38,3.950979,4.335378
LDW-PSO,39,4.102504,4.397133
LDW-PSO,40,4.24884,4.467064
LDW-PSO,41,4.389087,4.546593
LDW-PSO,42,4.522363,4.637104
LDW-PSO,43,4.64839,4.73881
LDW-PSO,44,4.767535,4.850677
LDW-PSO,45,4.880196,4.971602
LDW-PSO,46,4.986773,5.100487
LDW-PSO,47,5.087663,5.236233
LDW-PSO,48,5.183266,5.377739
LDW-PSO,49,5.273981,5.523906
LDW-PSO,50,5.360206,5.673634
LDW-PSO,51,5.44234,5.825824
LDW-PSO,52,5.520782,5.979375
LDW-PSO,53,5.595931,6.133189
LDW-PSO,54,5.668186,6.286166
LDW-PSO,55,5.737945,6.437205
LDW-PSO,56,5.805607,6.585208
LDW-PSO,57,5.871571,6.729075
LDW-PSO,58,5.936236,6.867705
LDW-PSO,59,6.0,7.0
D*-PSO (Proposed),0,0.0,0.0
D*-PSO (Proposed),1,0.036619,0.147893
D*-PSO (Proposed),2,0.07537,0.299663
D*-PSO (Proposed),3,0.116412,0.454776
D*-PSO (Proposed),4,0.159904,0.612695
D*-PSO (Proposed),5,0.206002,0.772886
D*-PSO (Proposed),6,0.254866,0.934813
D*-PSO (Proposed),7,0.306653,1.097941
D*-PSO (Proposed),8,0.361522,1.261734
D*-PSO (Proposed),9,0.419631,1.425656
D*-PSO (Proposed),10,0.481137,1.589173
D*-PSO (Proposed),11,0.5462,1.751749
D*-PSO (Proposed),12,0.614976,1.912848
D*-PSO (Proposed),13,0.687624,2.071936
D*-PSO (Proposed),14,0.764303,2.228476
D*-PSO (Proposed),15,0.845171,2.381933
D*-PSO (Proposed),16,0.930384,2.531773
D*-PSO (Proposed),17,1.020103,2.677458
D*-PSO (Proposed),18,1.114484,2.818455
D*-PSO (Proposed),19,1.213686,2.954227
D*-PSO (Proposed),20,1.317868,3.084239
D*-PSO (Proposed),21,1.427186,3.207956
D*-PSO (Proposed),22,1.5418,3.324842
D*-PSO (Proposed),23,1.661867,3.434362
D*-PSO (Proposed),24,1.787546,3.53598
D*-PSO (Proposed),25,1.918994,3.629162
D*-PSO (Proposed),26,2.05637,3.713371
D*-PSO (Proposed),27,2.1998,3.788133
D*-PSO (Proposed),28,2.348852,3.853999
D*-PSO (Proposed),29,2.502641,3.912367
D*-PSO (Proposed),30,2.660263,3.964662
D*-PSO (Proposed),31,2.820816,4.012309
D*-PSO (Proposed),32,2.983398,4.056734
D*-PSO (Proposed),33,3.147107,4.099359
D*-PSO (Proposed),34,3.31104,4.141611
D*-PSO (Proposed),35,3.474296,4.184914
D*-PSO (Proposed),36,3.635973,4.230693
D*-PSO (Proposed),37,3.795168,4.280373
D*-PSO (Proposed),38,3.950979,4.335378
D*-PSO (Proposed),39,4.102504,4.397133
D*-PSO (Proposed),40,4.24884,4.467064
D*-PSO (Proposed),41,4.389087,4.546593
D*-PSO (Proposed),42,4.522363,4.637104
D*-PSO (Proposed),43,4.64839,4.73881
D*-PSO (Proposed),44,4.767535,4.850677
D*-PSO (Proposed),45,4.880196,4.971602
D*-PSO (Proposed),46,4.986773,5.100487
D*-PSO (Proposed),47,5.087663,5.236233
D*-PSO (Proposed),48,5.183266,5.377739
D*-PSO (Proposed),49,5.273981,5.523906
D*-PSO (Proposed),50,5.360206,5.673634
D*-PSO (Proposed),51,5.44234,5.825824
D*-PSO (Proposed),52,5.520782,5.979375
D*-PSO (Proposed),53,5.595931,6.133189
D*-PSO (Proposed),54,5.668186,6.286166
D*-PSO (Proposed),55,5.737945,6.437205
D*-PSO (Proposed),56,5.805607,6.585208
D*-PSO (Proposed),57,5.871571,6.729075
D*-PSO (Proposed),58,5.936236,6.867705
D*-PSO (Proposed),59,6.0,7.0
ABC,0,0.0,0.0
ABC,1,0.005969,0.179924
ABC,2,0.002567,0.363251
ABC,3,0.0,0.549266
ABC,4,0.0,0.737252
ABC,5,0.0,0.926493
ABC,6,0.0,1.116274
ABC,7,0.0,1.305876
ABC,8,0.0,1.494586
ABC,9,0.0,1.681687
ABC,10,0.0,1.866461
ABC,11,0.0,2.048195
ABC,12,0.0,2.22617
ABC,13,0.0,2.399672
ABC,14,0.0,2.567984
ABC,15,0.002722,2.730389
ABC,16,0.074546,2.886267
ABC,17,0.163202,3.035322
ABC,18,0.267428,3.177335
ABC,19,0.385962,3.312083
ABC,20,0.517543,3.439346
ABC,21,0.66091,3.558903
ABC,22,0.814802,3.670532
ABC,23,0.977956,3.774012
ABC,24,1.149112,3.869123
ABC,25,1.327008,3.955642
ABC,26,1.510383,4.03335
ABC,27,1.697975,4.102024
ABC,28,1.888524,4.161444
ABC,29,2.080783,4.211419
ABC,30,2.27388,4.252457
ABC,31,2.467303,4.285742
ABC,32,2.660556,4.312489
ABC,33,2.853141,4.333913
ABC,34,3.044564,4.351227
ABC,35,3.234326,4.365645
ABC,36,3.421933,4.378383
ABC,37,3.606886,4.390653
ABC,38,3.788691,4.403671
ABC,39,3.966851,4.41865
ABC,40,4.140868,4.436805
ABC,41,4.310247,4.459349
ABC,42,4.474492,4.487498
ABC,43,4.633105,4.522464
ABC,44,4.785591,4.565464
ABC,45,4.931453,4.617709
ABC,46,5.070194,4.680416
ABC,47,5.201319,4.754798
ABC,48,5.32433,4.842069
ABC,49,5.438732,4.943443
ABC,50,5.544027,5.060135
ABC,51,5.63972,5.193359
ABC,52,5.725314,5.344329
ABC,53,5.800312,5.514259
ABC,54,5.864219,5.704363
ABC,55,5.916537,5.915857
ABC,56,5.956771,6.149953
ABC,57,5.984424,6.407866
ABC,58,5.998999,6.69081
ABC,59,6.0,7.0
PSO-ABC (Proposed),0,0.0,0.0
PSO-ABC (Proposed),1,0.074247,0.114242
PSO-ABC (Proposed),2,0.137167,0.24161
